Country_Name,ISO, NormalizedLackofResilience ,Resilience_Index,Resilience_Rank,Vulnerability_Index,Vulnerability_Rank,Coping_Capacity_Index,Coping_Capacity_Rank
Afghanistan,AFG,0.97,0.3,164,0.66,1,0.25,169
Angola,AGO,0.82,0.41,144,0.52,28,0.34,154
Aland Islands,ALA,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Albania,ALB,0.51,0.63,63,0.3,109,0.55,84
United Arab Emirates,ARE,0.32,0.77,24,0.24,133,0.77,24
Argentina,ARG,0.49,0.65,56,0.3,109,0.6,67
Armenia,ARM,0.46,0.67,48,0.26,129,0.59,70
French Southern Territories,ATF,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Australia,AUS,0.26,0.81,11,0.23,143,0.84,10
Austria,AUT,0.24,0.83,6,0.19,161,0.84,10
Azerbaijan,AZE,0.54,0.61,74,0.31,106,0.52,96
Burundi,BDI,0.9,0.35,157,0.55,16,0.24,171
Belgium,BEL,0.32,0.77,24,0.3,109,0.83,13
Benin,BEN,0.74,0.47,123,0.46,47,0.39,140
Burkina Faso,BFA,0.78,0.44,130,0.54,18,0.42,128
Bangladesh,BGD,0.78,0.44,130,0.53,24,0.4,137
Bulgaria,BGR,0.42,0.7,43,0.25,132,0.65,51
Bahrain,BHR,0.49,0.65,56,0.33,102,0.62,60
Bosnia & Herzegovina,BIH,0.53,0.62,69,0.28,119,0.51,99
Belarus,BLR,0.46,0.67,48,0.24,133,0.57,78
Belize,BLZ,0.51,0.63,63,0.3,109,0.56,81
Bolivia,BOL,0.63,0.55,97,0.43,57,0.53,91
Brazil,BRA,0.51,0.63,63,0.34,98,0.6,67
Barbados,BRB,0.39,0.72,38,0.24,133,0.68,42
Bhutan,BTN,0.53,0.62,69,0.41,62,0.64,56
Botswana,BWA,0.51,0.63,63,0.4,73,0.66,49
Central African Republic,CAF,0.89,0.36,156,0.58,11,0.29,167
Canada,CAN,0.28,0.8,15,0.21,155,0.81,17
Switzerland,CHE,0.24,0.83,6,0.22,149,0.87,3
Chile,CHL,0.42,0.7,43,0.28,119,0.67,47
China,CHN,0.57,0.59,81,0.36,89,0.54,88
Cote d'Ivoire,CIV,0.75,0.46,126,0.49,39,0.4,137
Cameroon,CMR,0.81,0.42,139,0.53,24,0.36,149
"Congo, DRC",COD,0.94,0.32,161,0.6,8,0.24,171
Congo,COG,0.78,0.44,130,0.5,36,0.38,143
Colombia,COL,0.58,0.58,83,0.41,62,0.57,78
Comoros,COM,0.71,0.49,117,0.42,60,0.39,140
Cabo Verde,CPV,0.56,0.6,78,0.38,84,0.58,75
Costa Rica,CRI,0.44,0.68,47,0.29,114,0.65,51
Cuba,CUB,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Cayman Islands,CYM,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Cyprus,CYP,0.35,0.75,33,0.24,133,0.73,31
Czechia,CZE,0.28,0.8,15,0.19,161,0.79,21
Germany,DEU,0.26,0.81,11,0.23,143,0.85,8
Djibouti,DJI,0.79,0.43,135,0.49,39,0.35,152
Denmark,DNK,0.18,0.87,1,0.16,167,0.9,1
Dominican Republic,DOM,0.6,0.57,86,0.41,62,0.55,84
Algeria,DZA,0.65,0.53,105,0.41,62,0.47,117
Ecuador,ECU,0.6,0.57,86,0.41,62,0.54,88
Egypt,EGY,0.63,0.55,97,0.42,60,0.51,99
Eritrea,ERI,0.92,0.34,160,0.54,18,0.21,174
Western Sahara,ESH,0.6,-9999,-9999,-9999,-9999,0.69,40
Spain,ESP,0.33,0.76,28,0.2,158,0.72,38
Estonia,EST,0.31,0.78,20,0.23,143,0.78,22
Ethiopia,ETH,0.88,0.37,155,0.59,10,0.33,157
Finland,FIN,0.19,0.86,2,0.14,171,0.86,5
Fiji,FJI,0.6,0.57,86,0.4,73,0.53,91
Falkland Islands,FLK,0.6,-9999,-9999,-9999,-9999,-9999,-9999
France,FRA,0.35,0.75,33,0.31,106,0.81,17
Faroe Islands,FRO,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Federated States of Micronesia,FSM,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Gabon,GAB,0.6,0.57,86,0.35,92,0.48,112
United Kingdom,GBR,0.28,0.8,15,0.24,133,0.83,13
Georgia,GEO,0.46,0.67,48,0.28,119,0.61,63
Ghana,GHA,0.65,0.53,105,0.44,54,0.49,109
Guinea,GIN,0.85,0.39,149,0.54,18,0.32,162
The Gambia,GMB,0.74,0.47,123,0.45,52,0.38,143
Guinea-Bissau,GNB,0.81,0.42,139,0.49,39,0.33,157
Equatorial Guinea,GNQ,0.74,0.47,123,0.41,62,0.34,154
Greece,GRC,0.39,0.72,38,0.24,133,0.67,47
Grenada,GRD,0.43,0.69,46,0.24,133,0.62,60
Greenland,GRL,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Guatemala,GTM,0.71,0.49,117,0.49,39,0.46,120
French Guiana,GUF,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Guyana,GUY,0.56,0.6,78,0.29,114,0.48,112
Honduras,HND,0.69,0.5,114,0.45,52,0.44,124
Croatia,HRV,0.35,0.75,33,0.24,133,0.73,31
Haiti,HTI,0.9,0.35,157,0.58,11,0.27,168
Hungary,HUN,0.31,0.78,20,0.18,163,0.73,31
Indonesia,IDN,0.61,0.56,93,0.43,57,0.54,88
Isle of Man,IMN,0.6,-9999,-9999,-9999,-9999,-9999,-9999
India,IND,0.71,0.49,117,0.51,33,0.48,112
Ireland,IRL,0.29,0.79,18,0.2,158,0.78,22
Iran,IRN,0.64,0.54,102,0.41,62,0.48,112
Iraq,IRQ,0.79,0.43,135,0.52,28,0.37,148
Iceland,ISL,0.21,0.85,3,0.14,171,0.84,10
Israel,ISR,0.42,0.7,43,0.35,92,0.74,28
Italy,ITA,0.38,0.73,36,0.27,126,0.73,31
Jamaica,JAM,0.47,0.66,54,0.28,119,0.59,70
Jordan,JOR,0.69,0.5,114,0.5,36,0.5,104
Japan,JPN,0.31,0.78,20,0.27,126,0.82,16
Kazakhstan,KAZ,0.51,0.63,63,0.27,126,0.53,91
Kenya,KEN,0.81,0.42,139,0.58,11,0.41,134
Kyrgyzstan,KGZ,0.63,0.55,97,0.4,73,0.49,109
Cambodia,KHM,0.72,0.48,121,0.46,47,0.41,134
South Korea,KOR,0.33,0.76,28,0.21,155,0.73,31
Kuwait,KWT,0.46,0.67,48,0.35,92,0.68,42
Laos,LAO,0.67,0.52,108,0.44,54,0.47,117
Lebanon,LBN,0.67,0.52,108,0.46,47,0.5,104
Liberia,LBR,0.82,0.41,144,0.48,44,0.3,164
Libya,LBY,0.67,0.52,108,0.4,73,0.44,124
St. Lucia,LCA,0.46,0.67,48,0.29,114,0.62,60
Sri Lanka,LKA,0.58,0.58,83,0.41,62,0.56,81
Lesotho,LSO,0.71,0.49,117,0.41,62,0.39,140
Lithuania,LTU,0.32,0.77,24,0.22,149,0.76,26
Luxembourg,LUX,0.25,0.82,10,0.22,149,0.86,5
Latvia,LVA,0.33,0.76,28,0.22,149,0.74,28
Morocco,MAR,0.63,0.55,97,0.4,73,0.5,104
Madagascar,MDG,0.83,0.4,147,0.51,33,0.3,164
Mexico,MEX,0.6,0.57,86,0.4,73,0.53,91
Marshall Islands,MHL,0.6,-9999,-9999,-9999,-9999,0.73,31
Macedonia,MKD,0.49,0.65,56,0.29,114,0.58,75
Mali,MLI,0.86,0.38,154,0.56,14,0.31,163
Malta,MLT,0.33,0.76,28,0.28,119,0.8,19
Myanmar,MMR,0.81,0.42,139,0.52,28,0.35,152
Mongolia,MNG,0.53,0.62,69,0.36,89,0.6,67
Northern Mariana Islands,MNP,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Mozambique,MOZ,0.82,0.41,144,0.52,28,0.34,154
Mauritania,MRT,0.83,0.4,147,0.56,14,0.36,149
Mauritius,MUS,0.39,0.72,38,0.22,149,0.65,51
Malawi,MWI,0.76,0.45,128,0.51,33,0.41,134
Malaysia,MYS,0.47,0.66,54,0.32,105,0.64,56
Namibia,NAM,0.6,0.57,86,0.46,47,0.59,70
New Caledonia,NCL,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Niger,NER,0.9,0.35,157,0.63,4,0.33,157
Nigeria,NGA,0.85,0.39,149,0.61,6,0.38,143
Nicaragua,NIC,0.61,0.56,93,0.38,84,0.49,109
Netherlands,NLD,0.24,0.83,6,0.2,158,0.85,8
Norway,NOR,0.22,0.84,4,0.18,163,0.86,5
Nepal,NPL,0.75,0.46,126,0.54,18,0.45,121
New Zealand,NZL,0.26,0.81,11,0.26,129,0.87,3
Oman,OMN,0.54,0.61,74,0.37,87,0.59,70
Pakistan,PAK,0.85,0.39,149,0.61,6,0.38,143
Panama,PAN,0.53,0.62,69,0.37,87,0.61,63
Peru,PER,0.57,0.59,81,0.38,84,0.55,84
Philippines,PHL,0.61,0.56,93,0.41,62,0.52,96
Papua New Guinea,PNG,0.79,0.43,135,0.5,36,0.36,149
Poland,POL,0.31,0.78,20,0.18,163,0.74,28
North Korea,PRK,1,-9999,-9999,-9999,-9999,-9999,-9999
Portugal,PRT,0.33,0.76,28,0.23,143,0.75,27
Paraguay,PRY,0.56,0.6,78,0.34,98,0.53,91
Palestina,PSE,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Qatar,QAT,0.49,0.65,56,0.34,98,0.64,56
Romania,ROU,0.39,0.72,38,0.24,133,0.68,42
Russia,RUS,0.49,0.65,56,0.28,119,0.57,78
Rwanda,RWA,0.76,0.45,128,0.54,18,0.44,124
Saudi Arabia,SAU,0.53,0.62,69,0.4,73,0.63,59
Sudan,SDN,1,0.28,165,0.66,1,0.21,174
Senegal,SEN,0.72,0.48,121,0.47,46,0.42,128
Singapore,SGP,0.24,0.83,6,0.17,166,0.83,13
Svalbard and Jan Mayen,SJM,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Solomon Islands,SLB,0.6,-9999,-9999,0.23,143,-9999,-9999
Sierra Leone,SLE,0.85,0.39,149,0.55,16,0.33,157
El Salvador,SLV,0.63,0.55,97,0.41,62,0.5,104
Somalia,SOM,1,-9999,-9999,-9999,-9999,0.11,176
Serbia,SRB,0.49,0.65,56,0.29,114,0.59,70
South Sudan,SSD,1,-9999,-9999,0.64,3,-9999,-9999
Sao Tome & Principe,STP,0.65,0.53,105,0.4,73,0.45,121
Suriname,SUR,0.49,0.65,56,0.28,119,0.58,75
Slovakia,SVK,0.29,0.79,18,0.16,167,0.73,31
Slovenia,SVN,0.26,0.81,11,0.16,167,0.77,24
Sweden,SWE,0.22,0.84,4,0.21,155,0.89,2
Eswatini,SWZ,0.68,0.51,111,0.44,54,0.45,121
Syria,SYR,0.85,0.39,149,0.53,24,0.3,164
Chad,TCD,0.94,0.32,161,0.6,8,0.24,171
Togo,TGO,0.81,0.42,139,0.49,39,0.33,157
Thailand,THA,0.54,0.61,74,0.33,102,0.55,84
Tajikistan,TJK,0.69,0.5,114,0.43,57,0.42,128
Turkmenistan,TKM,0.68,0.51,111,0.4,73,0.42,128
Trinidad & Tobago,TTO,0.4,0.71,42,0.24,133,0.65,51
Tunisia,TUN,0.58,0.58,83,0.35,92,0.51,99
Turkey,TUR,0.6,0.57,86,0.36,89,0.5,104
Tuvalu,TUV,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Taiwan,TWN,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Tanzania,TZA,0.78,0.44,130,0.53,24,0.4,137
Uganda,UGA,0.78,0.44,130,0.54,18,0.42,128
Ukraine,UKR,0.54,0.61,74,0.3,109,0.51,99
United States Minor Outlying Islands,UMI,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Uruguay,URY,0.38,0.73,36,0.23,143,0.68,42
United States,USA,0.32,0.77,24,0.26,129,0.8,19
Uzbekistan,UZB,0.64,0.54,102,0.34,98,0.42,128
St. Vincent & the Grenadines,VCT,0.46,0.67,48,0.31,106,0.65,51
Venezuela,VEN,0.64,0.54,102,0.35,92,0.43,127
Vietnam,VNM,0.61,0.56,93,0.4,73,0.52,96
Kosovo,XKO,0.6,-9999,-9999,-9999,-9999,-9999,-9999
Yemen,YEM,0.96,0.31,163,0.63,4,0.25,169
South Africa,ZAF,0.51,0.63,63,0.35,92,0.61,63
Zambia,ZMB,0.68,0.51,111,0.46,47,0.47,117
Zimbabwe,ZWE,0.79,0.43,135,0.52,28,0.38,143
