pfaf_id,Modified_Severity,post_date,pre_date
172709.0,0.9966855161638012,20210127,20201128
172709.0,0.9961771828589638,20210127,20201128
172709.0,0.9951824984616564,20210127,20201128
172709.0,0.9951824984616564,20210127,20201128
172709.0,0.9951824984616564,20210127,20201128
172709.0,0.994684220780148,20210127,20201128
172709.0,0.9940120059758596,20210127,20201128
172583.0,0.9927813225914328,20210127,20201128
172583.0,0.9927405462032648,20210127,20201128
172583.0,0.992671328737996,20210127,20201128
172583.0,0.9926132515557172,20210127,20201128
172911.0,0.9926078662329082,20210127,20201128
172583.0,0.992588027952366,20210127,20201128
172583.0,0.9925668597996508,20210127,20201128
172583.0,0.9925543791777351,20210127,20201128
172911.0,0.9923537173255595,20210127,20201128
172911.0,0.9923465056950652,20210127,20201128
172911.0,0.9909922820923522,20210127,20201128
172911.0,0.9906699240506448,20210127,20201128
172911.0,0.9896126658904352,20210127,20201128
172911.0,0.9896126658904352,20210127,20201128
172581.0,0.9792243053274209,20210127,20201128
172581.0,0.9791340673579576,20210127,20201128
172581.0,0.9787496675134724,20210127,20201128
172581.0,0.978271240714913,20210127,20201128
172581.0,0.97783093601107,20210127,20201128
172581.0,0.9776141368681244,20210127,20201128
172581.0,0.977542196544506,20210127,20201128
132730.0,0.9565030554061584,20210127,20201204
132730.0,0.9556274762617044,20210127,20201204
132730.0,0.9556274762617044,20210127,20201204
132730.0,0.9556274762617044,20210127,20201204
132730.0,0.9556274762617044,20210127,20201204
132730.0,0.9556274762617044,20210127,20201204
132730.0,0.9556274762617044,20210127,20201204
132751.0,0.9485226220539736,20210127,20201204
132751.0,0.9485226220539736,20210127,20201204
132751.0,0.9485226220539736,20210127,20201204
132751.0,0.9485226220539736,20210127,20201204
132751.0,0.9485226220539736,20210127,20201204
132751.0,0.9485226220539736,20210127,20201204
132751.0,0.9485226220539736,20210127,20201204
531404.0,0.9466618479288909,20210127,20210121
124300.0,0.9437135604485511,20210127,20210119
124300.0,0.9424542167989641,20210127,20210119
172830.0,0.9411188946414192,20210127,20201128
172830.0,0.9411188946414192,20210127,20201128
172830.0,0.9411188946414192,20210127,20201128
172830.0,0.9411188946414192,20210127,20201128
172830.0,0.9411188946414192,20210127,20201128
124300.0,0.9381026402318651,20210127,20210119
172830.0,0.937711237887194,20210127,20201128
172830.0,0.9361342713572166,20210127,20201128
123010.0,0.9345449780126536,20210127,20210115
132759.0,0.9331466521310191,20210127,20201129
123030.0,0.932270406046109,20210127,20210125
132753.0,0.9322660370796284,20210127,20201204
132753.0,0.9322660370796284,20210127,20201204
132753.0,0.9322660370796282,20210127,20201204
132753.0,0.9322660370796282,20210127,20201204
132753.0,0.9322660370796282,20210127,20201204
132753.0,0.9322660370796282,20210127,20201204
132753.0,0.9322660370796282,20210127,20201204
132797.0,0.930617126494948,20210127,20210107
124300.0,0.9297234052476182,20210127,20210119
132781.0,0.9295817116048729,20210127,20201128
132781.0,0.9295817116048729,20210127,20201128
132781.0,0.9253024517085132,20210127,20201128
124300.0,0.924531509768336,20210127,20210119
132781.0,0.9242185561222572,20210127,20201128
